"lake","year","doy","ZID","depth","depth.rounded","manual.chl"
"T",2024,171,6,3,3,31.0654348189648
"T",2024,178,1,0,0,33.2914093488728
"T",2024,178,2,0.5,0.5,20.3484213715535
"T",2024,178,3,1,1,24.4295633158347
"T",2024,178,4,1.7,1.75,23.8649509316498
"T",2024,178,5,2.3,2.25,18.6890617061443
"T",2024,178,6,3.3,3.25,22.2008027263594
"T",2024,185,1,0,0,21.302037322822
"T",2024,185,2,0.5,0.5,28.0857441117417
"T",2024,185,3,1.9,2,23.9477491394154
"T",2024,185,4,3.5,3.5,35.9251062835822
"T",2024,185,5,4.9,5,30.1233113634113
"T",2024,185,6,6.1,6,28.0613660905279
"T",2024,192,1,0,0,17.2724374805358
"T",2024,192,2,0.5,0.5,19.2773555966511
"T",2024,192,3,1,1,20.0483975819003
"T",2024,192,4,1.8,1.75,23.977176893595
"T",2024,192,5,2.3,2.25,35.7929425828586
"T",2024,192,6,3.4,3.5,34.068284646341
"T",2024,199,1,0,0,22.0520097325935
"T",2024,199,2,0.3,0.25,22.3965234109619
"T",2024,199,3,0.8,0.75,23.5689321026247
"T",2024,199,4,1.8,1.75,28.2061541236658
"T",2024,199,5,2.7,2.75,34.3850247933979
"T",2024,199,6,3.9,4,39.707095081825
"T",2024,206,1,0,0,28.2316073897439
"T",2024,206,2,0.35,0.25,28.8671737459588
"T",2024,206,3,0.85,0.75,30.8618617996005
"T",2024,206,4,1.6,1.5,39.6109324945726
"T",2024,206,5,2.1,2,36.8240318855447
"T",2024,206,6,3,3,29.6717059084941
"T",2024,213,1,0,0,23.0271305811471
"T",2024,213,2,0.4,0.5,23.3806989531092
"T",2024,213,3,0.9,1,19.7171176864765
"T",2024,213,4,1.5,1.5,18.4495476477183
"T",2024,213,5,2,2,25.8296453127624
"T",2024,213,6,2.8,2.75,26.6385602952545
"T",2024,220,1,0,0,20.3791550911552
"T",2024,220,2,0.45,0.5,21.6330560251613
"T",2024,220,3,0.9,1,19.398462123467
"T",2024,220,4,1.6,1.5,21.5343250392453
"T",2024,220,5,1.9,2,21.1740527114493
"T",2024,220,6,2.9,3,25.524484725782
"T",2024,227,1,0,0,29.2715607150721
"T",2024,227,2,0.4,0.5,25.8622073839551
"T",2024,227,3,0.85,0.75,28.0798237351612
"T",2024,227,4,1.5,1.5,30.7877865702114
"T",2024,227,5,1.9,2,41.8344256901785
"T",2024,227,6,2.8,2.75,28.8453806656373
"T",2024,234,1,0,0,32.886908325446
"T",2024,234,2,0.35,0.25,34.6160936087605
"T",2024,234,3,0.75,0.75,32.461598919626
"T",2024,234,4,1.5,1.5,33.3044690030945
"T",2024,234,5,2,2,31.16529764158
"T",2024,234,6,2.9,3,47.5916436572726
