Date,Time,Temp [°C],Temp [°F],Temp [°K],pH [Units],ORP [mV],SpCond [mS/cm],SpCond [µS/cm],Res [kO-cm],Sal [ppt],TDS [g/l],pHVolts [mV],LDO% [Sat],LDO [mg/l],BP [mmHg],CHL [µg/l],CHLV [Volts],PCY [cell/mL],PCYV [Volts],IBatt [Volts],EBatt [Volts],IBatt [%Left],EBatt [%Left],Circ [Status],Date / Time,lake,depth,
6/13/2024,13:54:50,17.66,63.8,290.8,7.32,-51,0,11,95,-0.01,0,7.7,98,9.24,752,0.99,0.0199,133,0.0037,6.4,0,0,0,1,6/13/2024 13:54:50,L,2.75,
6/13/2024,13:55:20,16.54,61.8,289.7,7.31,-47,0,11,95,-0.01,0,8.3,116.3,11.22,752,0.86,0.0189,193,0.0038,6.5,0,0,0,1,6/13/2024 13:55:20,L,3,
6/13/2024,13:55:50,15.49,59.9,288.6,7.36,-44,0,11,94,-0.01,0,5.8,126,12.44,752,0.93,0.0191,170,0.0038,6.4,0,0,0,1,6/13/2024 13:55:50,L,3.25,
6/13/2024,13:56:20,14.57,58.2,287.7,7.4,-42,0,11,94,-0.01,0,3.8,128.5,12.94,752,0.8,0.018,117,0.0037,6.4,0,1,0,1,6/13/2024 13:56:20,L,3.5,
6/13/2024,13:56:50,12.42,54.4,285.6,7.44,-37,0,11,93,-0.01,0,1.8,128.1,13.53,752,0.93,0.0195,151,0.0037,6.4,0,0,0,1,6/13/2024 13:56:50,L,3.75,
6/13/2024,13:57:20,11.24,52.2,284.4,7.46,-34,0,11,93,-0.01,0,0.8,127,13.78,752,1.31,0.0229,201,0.0038,6.3,0,0,0,1,6/13/2024 13:57:20,L,4,
6/13/2024,13:57:50,10.37,50.7,283.5,7.46,-31,0,11,92,-0.01,0,1,124.8,13.81,752,2000000,0.0389,273,0.0041,6.4,0,1,0,1,6/13/2024 13:57:50,L,4.25,
6/13/2024,13:58:20,9.92,49.9,283.1,7.49,-30,0,11,92,-0.01,0,-1,120.9,13.53,752,2.37,0.0329,94,0.0037,6.4,0,0,0,1,6/13/2024 13:58:20,L,4.5,
6/13/2024,13:58:50,9.21,48.6,282.4,7.46,-28,0,11,91,-0.01,0,0.7,118.5,13.48,752,2.97,0.0389,230,0.004,6.4,0,0,0,1,6/13/2024 13:58:50,L,4.75,
6/13/2024,13:59:20,8.76,47.8,281.9,7.46,-27,0,11,91,-0.01,0,0.9,114.6,13.18,752,5.21,0.0623,356,0.0042,6.3,0,0,0,1,6/13/2024 13:59:20,L,5,
