"doy","depth","lake","year","k","kcrit.depth","perc.light"
163,2.5,"L",2022,NA,NA,15.946474430786
163,2.5,"L",2024,-0.585878545631096,7.86028099909241,23.1148165709556
163,2.5,"R",2022,NA,NA,6.88587360787008
163,2.5,"R",2024,NA,NA,7.63225652905471
163,2.5,"T",2022,NA,NA,3.64422170464142
163,2.5,"T",2024,NA,NA,4.74679823010421
163,2.75,"L",2022,NA,NA,13.274717065171
163,2.75,"L",2024,-0.585878545631096,7.86028099909241,19.9654680846604
163,2.75,"R",2022,NA,NA,5.27057751404052
163,2.75,"R",2024,NA,NA,5.90790537576657
163,2.75,"T",2022,NA,NA,2.61698359620559
163,2.75,"T",2024,NA,NA,3.50081778732315
163,3,"L",2022,NA,NA,11.0510239803579
163,3,"L",2024,-0.585878545631096,7.86028099909241,17.24521216147
163,3,"R",2022,NA,NA,4.0343824163367
163,3,"R",2024,NA,NA,4.5739803627053
163,3,"T",2022,NA,NA,1.87933295532397
163,3,"T",2024,NA,NA,2.5820396662067
163,3.25,"L",2022,NA,NA,9.20017966276754
163,3.25,"L",2024,-0.585878545631096,7.86028099909241,14.8955857800602
163,3.25,"R",2022,NA,NA,3.08827420706698
163,3.25,"R",2024,NA,NA,3.54186641181236
163,3.25,"T",2022,NA,NA,1.34962459050742
163,3.25,"T",2024,NA,NA,1.90450143510998
163,3.5,"L",2022,NA,NA,7.65960753982734
163,3.5,"L",2024,-0.585878545631096,7.86028099909241,12.8660913912595
163,3.5,"R",2022,NA,NA,2.3641488497552
163,3.5,"R",2024,NA,NA,2.74311609996234
163,3.5,"T",2022,NA,NA,0.969234277210402
163,3.5,"T",2024,NA,NA,1.4048340199607
163,3.75,"L",2022,NA,NA,6.377243986455
163,3.75,"L",2024,-0.585878545631096,7.86028099909241,11.1131116380689
163,3.75,"R",2022,NA,NA,1.80989836121334
163,3.75,"R",2024,NA,NA,2.12484589550647
163,3.75,"T",2022,NA,NA,0.696067057034553
163,3.75,"T",2024,NA,NA,1.03632117169667
163,4,"L",2022,NA,NA,5.3097703227594
163,4,"L",2024,-0.585878545631096,7.86028099909241,9.59897194295407
163,4,"R",2022,NA,NA,1.38565209293506
163,4,"R",2024,NA,NA,1.6461868228636
163,4,"T",2022,NA,NA,0.49989631326422
163,4,"T",2024,NA,NA,0.764521489091856
163,4.25,"L",2022,NA,NA,4.42114245640434
163,4.25,"L",2024,-0.585878545631096,7.86028099909241,8.29113081578207
163,4.25,"R",2022,NA,NA,1.06090159214716
163,4.25,"R",2024,NA,NA,1.27554716923464
163,4.25,"T",2022,NA,NA,0.35901726128241
163,4.25,"T",2024,NA,NA,0.564041843481909
163,4.5,"L",2022,NA,NA,3.68136800692874
163,4.5,"L",2024,-0.585878545631096,7.86028099909241,7.16148048071651
163,4.5,"R",2022,NA,NA,0.812301253460773
163,4.5,"R",2024,NA,NA,0.988500787894796
163,4.5,"T",2022,NA,NA,0.257844143568633
163,4.5,"T",2024,NA,NA,0.416159276084201
163,4.75,"L",2022,NA,NA,3.06548921264702
163,4.75,"L",2024,-0.585878545631096,7.86028099909241,6.18574279132827
163,4.75,"R",2022,NA,NA,0.621985855651824
163,4.75,"R",2024,NA,NA,0.766157526787446
163,4.75,"T",2022,NA,NA,0.185184982087442
163,4.75,"T",2024,NA,NA,0.3070681663987
163,5,"L",2022,NA,NA,2.55273695457026
163,5,"L",2024,-0.585878545631096,7.86028099909241,5.34294745108924
163,5,"R",2022,NA,NA,0.476283457407299
163,5,"R",2024,NA,NA,0.593905338510405
163,5,"T",2022,NA,NA,0.13300280793713
163,5,"T",2024,NA,NA,0.226588207328419
163,5.25,"L",2022,NA,NA,2.12582707782248
163,5.25,"L",2024,-0.585878545631096,7.86028099909241,4.61498132530193
163,5.25,"R",2022,NA,NA,0.36473070924843
163,5.25,"R",2024,NA,NA,0.460439020980614
163,5.25,"T",2022,NA,NA,0.0955261804287614
163,5.25,"T",2024,NA,NA,0.167211997357486
163,5.5,"L",2022,NA,NA,1.77037505008236
163,5.5,"L",2024,-0.585878545631096,7.86028099909241,3.98619915839593
163,5.5,"R",2022,NA,NA,0.279319496824451
163,5.5,"R",2024,NA,NA,0.357010069502855
163,5.5,"T",2022,NA,NA,0.0686104988083121
163,5.5,"T",2024,NA,NA,0.123402944177911
163,5.75,"L",2022,NA,NA,1.47440903547804
163,5.75,"L",2024,-0.585878545631096,7.86028099909241,3.44308733023027
163,5.75,"R",2022,NA,NA,0.213920546338193
163,5.75,"R",2024,NA,NA,0.276847149627113
163,5.75,"T",2022,NA,NA,0.0492793878070418
163,5.75,"T",2024,NA,NA,0.0910776667817419
163,6,"L",2022,NA,NA,1.22796481969154
163,6,"L",2024,-0.585878545631096,7.86028099909241,2.97397342494114
163,6,"R",2022,NA,NA,0.163842406279772
163,6,"R",2024,NA,NA,0.214708268512029
163,6,"T",2022,NA,NA,0.0353953815069989
163,6,"T",2024,NA,NA,0.0672243934888173
163,6.25,"L",2022,NA,NA,1.02274881293449
163,6.25,"L",2024,-0.585878545631096,7.86028099909241,2.56877537046515
163,6.25,"R",2022,NA,NA,0.12549399623777
163,6.25,"R",2024,NA,NA,0.166534630537233
163,6.25,"T",2022,NA,NA,0.0254234485901036
163,6.25,"T",2024,NA,NA,0.0496216090854857
163,6.5,"L",2022,NA,NA,0.851857677608602
163,6.5,"L",2024,-0.585878545631096,7.86028099909241,2.21878475731133
163,6.5,"R",2022,NA,NA,0.0961263908314598
163,6.5,"R",2024,NA,NA,0.129183024860409
163,6.5,"T",2022,NA,NA,0.0182611824238208
163,6.5,"T",2024,NA,NA,0.0366306040779908
163,6.75,"L",2022,NA,NA,0.709545056354436
163,6.75,"L",2024,-0.585878545631096,7.86028099909241,1.916479679726
163,6.75,"R",2022,NA,NA,0.0736352257321767
163,6.75,"R",2024,NA,NA,0.100218880295917
163,6.75,"T",2022,NA,NA,0.013116860605564
163,6.75,"T",2024,NA,NA,0.0270425062221162
163,7,"L",2022,NA,NA,0.591027479875453
163,7,"L",2024,-0.585878545631096,7.86028099909241,1.65536307688241
163,7,"R",2022,NA,NA,0.0564094869653221
163,7,"R",2024,NA,NA,0.0777561988479539
163,7,"T",2022,NA,NA,0.00942187824048466
163,7,"T",2024,NA,NA,0.0199654796612428
163,7.25,"L",2022,NA,NA,0.49232286729062
163,7.25,"L",2024,-0.585878545631096,7.86028099909241,1.42982309976664
163,7.25,"R",2022,NA,NA,0.0432157905098104
163,7.25,"R",2024,NA,NA,0.0603337221715535
163,7.25,"T",2022,NA,NA,0.00676786441496714
163,7.25,"T",2024,NA,NA,0.0147415395848293
163,7.5,"L",2022,NA,NA,0.410116140432907
163,7.5,"L",2024,-0.585878545631096,7.86028099909241,1.23501250280183
163,7.5,"R",2022,NA,NA,0.0331098185136251
163,7.5,"R",2024,NA,NA,0.0468191095036634
163,7.5,"T",2022,NA,NA,0.00486152352019222
163,7.5,"T",2024,NA,NA,0.0108852035231664
163,7.75,"L",2022,NA,NA,0.341647395382035
163,7.75,"L",2024,-0.585878545631096,7.86028099909241,1.0667444681274
163,7.75,"R",2022,NA,NA,0.0253685361881867
163,7.75,"R",2024,NA,NA,0.0363347761127211
163,7.75,"T",2022,NA,NA,0.0034922048715331
163,7.75,"T",2024,NA,NA,0.00803824447833266
163,8,"L",2022,NA,NA,0.284618841103923
163,8,"L",2024,-0.585878545631096,7.86028099909241,0.921402623616194
163,8,"R",2022,NA,NA,0.0194383110815997
163,8,"R",2024,NA,NA,0.0282004849820666
163,8,"T",2022,NA,NA,0.00250861271241145
163,8,"T",2024,NA,NA,0.00593631782641568
164,0,"L",2022,NA,NA,100
164,0,"L",2024,NA,NA,100
164,0,"R",2022,-1.08137917150314,4.25860800851074,100
164,0,"R",2024,NA,NA,100
164,0,"T",2022,NA,NA,100
164,0,"T",2024,-1.23151802291364,3.73942558234321,100
