"lake","year","date","ZID","carbon","doy","depth","depth.rounded","manual.chl","c.to.chl","c.to.chl.corr"
"T",2022,2022-07-20,1,1040,201,0,0,6.21920001216924,167.224079940348,71.9063543743495
"L",2022,2022-07-19,2,706.666666666667,200,0.75,0.75,5.04050457965607,140.197604326923,86.9225146826925
"L",2022,2022-07-19,4,726.666666666667,200,3.1,3,7.98873236422847,90.9614483920499,56.3960980030709
"T",2022,2022-07-20,2,880,201,0.65,0.75,6.72111534734632,130.930649828447,56.3001794262321
"L",2022,2022-07-19,5,793.333333333333,200,3.8,3.75,7.48057314056058,106.052479994051,65.7525375963114
"L",2022,2022-07-12,1,646.666666666667,193,0,0,5.72202249651767,113.013653312307,70.0684650536301
"L",2022,2022-07-12,1,600,193,0,0,5.72202249651767,104.85802884647,65.0119778848114
"R",2022,2022-07-11,5,606.666666666667,192,2.9,3,12.226992725365,49.6169974329118,26.2970086394433
"T",2022,2022-07-20,4,873.333333333333,201,2.2,2.25,6.65569805585938,131.215888401742,56.4228320127489
"L",2022,2022-07-12,2,606.666666666667,193,1,1,5.49614014157051,110.380494499784,68.4359065898662
"L",2022,2022-07-12,3,640,193,1.6,1.5,5.31558088133907,120.4007641473,74.6484737713257
"L",2022,2022-07-12,3,666.666666666667,193,1.6,1.5,5.31558088133907,125.417462653437,77.758826845131
"R",2022,2022-07-11,2,646.666666666667,192,0.6,0.5,0.383531209391527,1686.08616673622,893.625668370197
"R",2022,2022-07-11,2,566.666666666667,192,0.6,0.5,0.383531209391527,1477.49818734617,783.074039293472
"L",2022,2022-07-19,1,480,200,0,0,4.53640029506554,105.810768181573,65.6026762725754
"R",2022,2022-07-11,6,980,192,4.3,4.25,36.1411549020512,27.1159015990488,14.3714278474959
"R",2022,2022-07-11,6,873.333333333333,192,4.3,4.25,36.1411549020512,24.1645109488122,12.8071908028705
"T",2022,2022-07-20,5,840,201,2.6,2.5,7.64180182440634,109.921719942699,47.2663395753606
"R",2022,2022-07-25,3,440,206,1.2,1.25,4.91799518133659,89.4673507753253,47.4176959109224
"T",2022,2022-07-27,2,953.333333333333,208,0.45,0.5,9.08815912044178,104.898398091317,45.1063111792662
"L",2022,2022-08-02,5,626.666666666667,214,3.7,3.75,5.0719027265048,123.556523154876,76.6050443560228
"R",2022,2022-08-08,6,1193.33333333333,220,4.7,4.75,38.2463647997267,31.2012223797505,16.5366478612677
"L",2022,2022-08-08,1,660,220,0,0,4.81364329782368,137.110284074933,85.0083761264582
"L",2022,2022-07-26,2,560,207,0.85,0.75,5.22164911472248,107.245812136452,66.4924035246005
"T",2022,2022-07-27,1,840,208,0,0,6.65627220652521,126.196762082016,54.264607695267
"R",2022,2022-07-25,2,440,206,0.55,0.5,3.46517869031067,126.977578740839,67.2981167326446
"R",2022,2022-08-01,4,486.666666666667,213,2.2,2.25,1.99896511118616,243.459309991601,129.033434295549
"R",2022,2022-08-08,5,493.333333333333,220,3.5,3.5,3.48398212461629,141.600420348789,75.0482227848581
"T",2022,2022-08-07,5,920,219,2.7,2.75,4.64010625907939,198.271321524118,85.2566682553706
"T",2022,2022-08-03,3,700,215,1.1,1,5.30072509170513,132.057404956805,56.784684131426
"L",2022,2022-08-02,4,740,214,2.7,2.75,4.47898845808097,165.215875621402,102.433842885269
"T",2022,2022-08-07,2,920,219,0.6,0.5,6.27212952667458,146.680644283151,63.0726770417548
"T",2022,2022-08-03,2,760,215,0.45,0.5,4.41529074783816,172.129094866995,74.0155107928079
"L",2022,2022-07-26,1,526.666666666667,207,0,0,5.77197252791157,91.2455255321921,56.5722258299591
"L",2022,2022-07-26,5,713.333333333333,207,3.4,3.5,5.0481479603948,141.305948028818,87.6096877778674
"T",2022,2022-07-27,6,866.666666666667,208,3.3,3.25,6.13336448762905,141.303630073629,60.7605609316604
"R",2022,2022-08-01,6,760,213,4,4,5.15692439247619,147.374664074738,78.1085719596111
"L",2022,2022-08-08,6,2153.33333333333,220,6,6,108.026232467655,19.9334299099812,12.3587265441883
"R",2022,2022-08-08,1,386.666666666667,220,0,0,2.737442721383,141.25105290653,74.8630580404611
"T",2022,2022-08-03,1,800,215,0,0,4.44548748441867,179.957766792502,77.3818397207757
"L",2022,2022-08-08,2,733.333333333333,220,0.9,1,5.99890557857718,122.244520059151,75.7916024366739
"R",2022,2022-08-08,4,460,220,3,3,3.11430086466103,147.705703459729,78.2840228336564
"R",2022,2022-07-25,6,4093.33333333333,206,4.9,5,180.263142025546,22.7075445780993,12.0349986263926
"R",2022,2022-08-08,3,420,220,1.6,1.5,2.63334202878639,159.493144228425,84.5313664410651
"T",2022,2022-08-03,6,820,215,3.4,3.5,3.96215561207336,206.958050183925,88.9919615790879
"L",2022,2022-08-02,3,646.666666666667,214,1.7,1.75,3.63143944589818,178.07447330482,110.406173448989
"T",2022,2022-08-07,3,873.333333333333,219,1.2,1.25,5.34928998461773,163.261542343875,70.2024632078662
"R",2022,2022-07-25,1,413.333333333333,206,0,0,4.47891345965025,92.284286592492,48.9106718940207
"T",2022,2022-07-27,4,933.333333333333,208,1.8,1.75,6.94937612142664,134.304622030118,57.7509874729508
"R",2022,2022-07-25,4,506.666666666667,206,2.3,2.25,4.55531138262101,111.225473762266,58.9495010940012
